Time,PV
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:47,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,0
12/11/2023 15:48,13
12/11/2023 15:48,26
12/11/2023 15:48,53
12/11/2023 15:48,79
12/11/2023 15:48,132
12/11/2023 15:48,172
12/11/2023 15:48,251
12/11/2023 15:48,370
12/11/2023 15:48,436
12/11/2023 15:48,516
12/11/2023 15:48,595
12/11/2023 15:48,675
12/11/2023 15:48,767
12/11/2023 15:48,860
12/11/2023 15:48,966
12/11/2023 15:48,1072
12/11/2023 15:48,1087
12/11/2023 15:48,1030
12/11/2023 15:48,1024
12/11/2023 15:48,994
12/11/2023 15:48,1009
12/11/2023 15:48,1004
12/11/2023 15:48,1010
12/11/2023 15:48,1010
12/11/2023 15:48,1011
12/11/2023 15:48,1013
12/11/2023 15:48,1014
12/11/2023 15:48,1014
12/11/2023 15:48,1016
12/11/2023 15:48,1017
12/11/2023 15:48,1017
12/11/2023 15:48,1020
12/11/2023 15:48,1019
12/11/2023 15:48,1031
12/11/2023 15:48,1032
12/11/2023 15:48,1048
12/11/2023 15:48,1063
12/11/2023 15:48,1072
12/11/2023 15:48,1086
12/11/2023 15:48,1093
12/11/2023 15:48,1113
12/11/2023 15:48,1123
12/11/2023 15:48,1125
12/11/2023 15:48,1131
12/11/2023 15:48,1150
12/11/2023 15:48,1164
12/11/2023 15:48,1168
12/11/2023 15:48,1172
12/11/2023 15:48,1186
12/11/2023 15:48,1203
12/11/2023 15:48,1211
12/11/2023 15:48,1214
12/11/2023 15:48,1222
12/11/2023 15:48,1240
12/11/2023 15:49,1253
12/11/2023 15:49,1256
12/11/2023 15:49,1260
12/11/2023 15:49,1278
12/11/2023 15:49,1293
12/11/2023 15:49,1298
12/11/2023 15:49,1301
12/11/2023 15:49,1315
12/11/2023 15:49,1332
12/11/2023 15:49,1339
12/11/2023 15:49,1342
12/11/2023 15:49,1351
12/11/2023 15:49,1371
12/11/2023 15:49,1381
12/11/2023 15:49,1385
12/11/2023 15:49,1393
12/11/2023 15:49,1379
12/11/2023 15:49,1379
12/11/2023 15:49,1387
12/11/2023 15:49,1380
12/11/2023 15:49,1391
12/11/2023 15:49,1379
12/11/2023 15:49,1363
12/11/2023 15:49,1392
12/11/2023 15:49,1371
12/11/2023 15:49,1392
12/11/2023 15:49,1414
12/11/2023 15:49,1412
12/11/2023 15:49,1417
12/11/2023 15:49,1432
12/11/2023 15:49,1447
12/11/2023 15:49,1455
12/11/2023 15:49,1456
12/11/2023 15:49,1468
12/11/2023 15:49,1486
12/11/2023 15:49,1496
12/11/2023 15:49,1498
12/11/2023 15:49,1505
12/11/2023 15:49,1524
12/11/2023 15:49,1538
12/11/2023 15:49,1542
12/11/2023 15:49,1546
