Time,PV,Load
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:47:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,0,851.0638297872347
2023-12-11 15:48:00,13,851.0638297872347
2023-12-11 15:48:00,26,851.0638297872347
2023-12-11 15:48:00,53,851.0638297872347
2023-12-11 15:48:00,79,851.0638297872347
2023-12-11 15:48:00,132,851.0638297872347
2023-12-11 15:48:00,172,851.0638297872347
2023-12-11 15:48:00,251,851.0638297872347
2023-12-11 15:48:00,370,851.0638297872347
2023-12-11 15:48:00,436,851.0638297872347
2023-12-11 15:48:00,516,851.0638297872347
2023-12-11 15:48:00,595,851.0638297872347
2023-12-11 15:48:00,675,851.0638297872347
2023-12-11 15:48:00,767,851.0638297872347
2023-12-11 15:48:00,860,851.0638297872347
